Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
M211,Sham,Sham-1,21361,05-184,0,0,117
M211,Sham,Sham-1,21361,05-184,1,1,220
M211,Sham,Sham-1,21361,05-746,0,0,1835
M211,Sham,Sham-1,21361,05-746,1,0,1746
M211,Sham,Sham-1,21361,06-0020,0,0,3119
M211,Sham,Sham-1,21361,06-0020,1,0,2445
M211,Sham,Sham-1,21361,06-519,0,0,2320
M211,Sham,Sham-1,21361,06-519,1,0,1933
M211,Sham,Sham-1,21361,06-570,0,0,10122
M211,Sham,Sham-1,21361,06-570,1,0,8984
M211,Sham,Sham-1,21361,07-007,0,0,851
M211,Sham,Sham-1,21361,07-007,1,1,884
M211,Sham,Sham-1,21361,07-021,0,0,1787
M211,Sham,Sham-1,21361,07-021,1,0,1176
M211,Sham,Sham-1,21361,07-139,0,0,1824
M211,Sham,Sham-1,21361,07-139,1,1,1342
M211,Sham,Sham-1,21361,07-191,0,0,1755
M211,Sham,Sham-1,21361,07-191,1,0,1585
M211,Sham,Sham-1,21361,07-303,0,0,4336
M211,Sham,Sham-1,21361,07-303,1,0,4018
M211,Sham,Sham-1,21361,07-433,0,0,738
M211,Sham,Sham-1,21361,07-433,1,0,619
M211,Sham,Sham-1,21361,07-443,0,0,1587
M211,Sham,Sham-1,21361,07-443,1,0,1057
M211,Sham,Sham-1,21361,100-401-149,0,0,954
M211,Sham,Sham-1,21361,100-401-149,1,0,883
M211,Sham,Sham-1,21361,100-401-151,0,0,1732
M211,Sham,Sham-1,21361,100-401-151,1,1,1660
M211,Sham,Sham-1,21361,11034,0,0,49
M211,Sham,Sham-1,21361,11034,1,1,40
M211,Sham,Sham-1,21361,11041,0,0,370
M211,Sham,Sham-1,21361,11041,1,0,484
M211,Sham,Sham-1,21361,11063,0,0,447
M211,Sham,Sham-1,21361,11063,1,1,636
M211,Sham,Sham-1,21361,11070,0,0,3243
M211,Sham,Sham-1,21361,11070,1,1,2773
M211,Sham,Sham-1,21361,11088,0,1,2750
M211,Sham,Sham-1,21361,11088,1,0,2671
M211,Sham,Sham-1,21361,11092,0,0,1069
M211,Sham,Sham-1,21361,11092,1,1,680
M211,Sham,Sham-1,21361,11115,0,0,107
M211,Sham,Sham-1,21361,11115,1,1,116
M211,Sham,Sham-1,21361,11134,0,0,3707
M211,Sham,Sham-1,21361,11134,1,1,5492
M211,Sham,Sham-1,21361,11136,0,0,3177
M211,Sham,Sham-1,21361,11136,1,0,2693
M211,Sham,Sham-1,21361,11173,0,0,2735
M211,Sham,Sham-1,21361,11173,1,0,2237
M211,Sham,Sham-1,21361,11213,0,1,131
M211,Sham,Sham-1,21361,11213,1,0,99
M211,Sham,Sham-1,21361,11218,0,0,2333
M211,Sham,Sham-1,21361,11218,1,0,1976
M211,Sham,Sham-1,21361,11269,0,0,1123
M211,Sham,Sham-1,21361,11269,1,0,874
M211,Sham,Sham-1,21361,11284,0,0,2735
M211,Sham,Sham-1,21361,11284,1,0,1943
M211,Sham,Sham-1,21361,11286,0,0,3496
M211,Sham,Sham-1,21361,11286,1,0,2730
M211,Sham,Sham-1,21361,11297,0,0,2529
M211,Sham,Sham-1,21361,11297,1,0,1504
M211,Sham,Sham-1,21361,11302,0,0,2713
M211,Sham,Sham-1,21361,11302,1,0,3012
M211,Sham,Sham-1,21361,11321,0,0,65
M211,Sham,Sham-1,21361,11321,1,1,38
M211,Sham,Sham-1,21361,11323,0,0,2389
M211,Sham,Sham-1,21361,11323,1,0,2216
M211,Sham,Sham-1,21361,11330,0,1,1974
M211,Sham,Sham-1,21361,11330,1,0,1485
M211,Sham,Sham-1,21361,11513,0,0,2465
M211,Sham,Sham-1,21361,11513,1,0,1505
M211,Sham,Sham-1,21361,11514,0,0,1987
M211,Sham,Sham-1,21361,11514,1,0,1699
M211,Sham,Sham-1,21361,11517,0,0,668
M211,Sham,Sham-1,21361,11517,1,1,905
M211,Sham,Sham-1,21361,11523,0,0,33
M211,Sham,Sham-1,21361,11523,1,0,60
M211,Sham,Sham-1,21361,11531,0,1,471
M211,Sham,Sham-1,21361,11531,1,0,726
M211,Sham,Sham-1,21361,11550,0,0,56
M211,Sham,Sham-1,21361,11550,1,0,61
M211,Sham,Sham-1,21361,11572,0,0,213
M211,Sham,Sham-1,21361,11572,1,1,110
M211,Sham,Sham-1,21361,11574,0,0,189
