antibody,Target Name,Target Uniprot ID,Pan or P-Site,mean Normalized Sham,mean Normalized Sham Apo,mean Normalized Smoke Treated,mean Normalized Smoke Treated Apocynin,error Normalized Sham,error Normalized Sham Apo,error Normalized Smoke Treated,error Normalized Smoke Treated Apocynin,log2fc Sham vs. Sham Apo,log2fc Sham vs. Smoke Treated,log2fc Smoke Treated vs. Smoke Treated Apocynin,pval Sham vs. Sham Apo,pval Sham vs. Smoke Treated,pval Smoke Treated vs. Smoke Treated Apocynin,significant Sham vs. Sham Apo,significant Sham vs. Smoke Treated,significant Smoke Treated vs. Smoke Treated Apocynin
PN977,PSEN1,A0A0S2Z4D2,T354,775.6666666666666,1332.5,1258.1666666666667,2222.1666666666665,0.20412548345509243,0.36835522201375864,0.25420585508014304,0.5631890797269932,0.780626822962346,0.6978143356027937,1.307098387037778,0.07915114429455197,0.03328720073459063,0.037468701983154794,0.0,0.0,1.0
NN372-1,Beclin-2 (BECN2),A8MW95,Pan-specific,5277.333333333333,5612.666666666667,4216.5,3518.3333333333335,0.2561689405423615,0.2609573583560993,0.4861852247124392,0.09840517921995894,0.08887726927698288,-0.32376315722485655,-0.2611537815881371,0.7506358845788249,0.39664378766712083,0.5154562563848092,0.0,0.0,0.0
NK294-1,SGK1,O00141,Pan-specific,6750.833333333333,5617.666666666667,5723.333333333333,7567.333333333333,0.11127021355388224,0.1891651338040705,0.11731702582022907,0.23733591754030484,-0.2650945793073671,-0.23820996816252013,0.4029293622721585,0.10599154426727617,0.08456111678346849,0.14287574785870125,0.0,0.0,0.0
PN936,AP3B1,O00203,S276,26380.833333333332,21108.833333333332,24261.833333333332,17496.166666666668,0.19417506396689518,0.36555786282204134,0.0985704570278421,0.29476297982732724,-0.32164329361020877,-0.12080156690306595,-0.47164970258139244,0.25315595174414474,0.454020037186194,0.05456914474894291,0.0,0.0,0.0
NN368-1,TLR4 (CD284),O00206,Pan-specific,786.0,886.0,680.3333333333334,597.1666666666666,0.2018659881255301,0.10421369450714824,0.3682835211497632,0.18606381989022236,0.17277738629641182,0.14358119312348536,-0.3515153438780972,0.41511321146442437,0.5167126997713083,0.04980326468089791,0.0,0.0,0.0
PN663,SPT5,O00267,T791,10718.5,9175.0,8554.5,11077.5,0.12994666542271152,0.404977293369664,0.18921815029126968,0.157737154893553,-0.22432295896062177,-0.3253475834876948,0.37287688828244336,0.49061108983326795,0.07576015730293312,0.10629177355782056,0.0,0.0,0.0
PK558,CDC7,O00311,T376,2814.3333333333335,4601.333333333333,7257.833333333333,6276.5,0.5650045402503059,0.5797111948227567,0.5551855849235692,0.2891473485753737,0.7092587596637815,1.3667457142011095,-0.20957864239837537,0.2880630850432897,0.07824884392792648,0.6650089520925725,0.0,0.0,0.0
NK291-1,Plk4 (SAK; STK18),O00444,Pan-specific,2682.3333333333335,2018.5,2145.8333333333335,2046.5,0.24526738743216928,0.14177194286186112,0.32253721682847897,0.1508266145451584,-0.4102049451536907,-0.32195050551005144,-0.06837935968106455,0.12501214656803566,0.3024087280950619,0.8043827801309065,0.0,0.0,0.0
PK780,Plk4 (SAK; STK18),O00444,T170,13502.666666666666,9263.666666666666,19255.666666666668,10259.333333333334,0.25450939732069383,0.215597375649191,0.12148804680873161,0.14922996945870426,-0.543589108869626,0.51203871682851,-0.9083460872292206,0.06979404145681874,0.024691480435315973,0.00017808918090121223,0.0,0.0,0.0
PN528,PIK3R2,O00459,Y464,3661.8333333333335,3408.6666666666665,2192.0,6165.666666666667,0.20841108734240588,0.32332616207053916,0.20255474452554745,0.16024220143807102,-0.10335860372194734,-0.7403183307272075,1.4920090970911686,0.7240319349503663,0.018503847363941707,0.00010462230081766791,0.0,0.0,1.0
