Antibody Code,Antibody Name,Target Name,Pan or P-Site,Antibody Type,Target Full Name,Target Uniprot ID,Target Refseq ID
05-0073 (Clone 8F7),,FAK (PTK2),Y397,,,Q05397,
05-184,,Src,Pan-specific,,,P12931,
05-636,,H2AFX (H2AX; Histone H2A.X),S139,,,P16104,
05-746,,Histone H3,T3,,,P84243,
06-0020,,Akt1 (PKBa),,,,P31749,
06-0032,,STAT5A,,,,P42229,
06-2020,,Akt1 (PKBa),Y474,,,,
06-229,,ErbB2 (Neu; HER2),Y1248,,,P04626,
06-519,,CREB1,S133,,,P16220,
06-570,,H3F3A (HIST1H3A; Histone H3A),S10,,,P84243,
06-822,,PKCa (PRKCA),S657,,,P17252,
07-007,,BRCA1,S1497,,,P38398,
07-012,,FAK (PTK2),Y397,,,Q05397,
07-021,,PDGFRB,Y716,,,P09619,
07-139,,p38g MAPK (MAPK12; ERK6; SAPK3),Pan-specific,,,P53778,
07-145,,H3F3A (HIST1H3A; Histone H3A),S28,,,P84243,
07-156,,CALD1 (CMD),S789,,,Q05682,
07-191,,H2B (Histone H2B),S15,,,P33778,
07-251,,PPP1R12A (MYPT1; MBS),T696,,,O14974,
07-303,,ACC1 (ACACA; ACCA),S80,,,Q13085,
07-326,,Cofilin 2 (CFL2),S3,,,Q9Y281,
07-388,,HSP27 (HSP28; HSPB1),S15,,,P04792,
07-424,,H3F3A (HIST1H3A; Histone H3A),T3,,,P84243,
07-433,,RPS6,S235,,,P62753,
07-438,,PKD1 (PRKCM; PKCm; PRKD1),S916,,,Q15139,
07-443,,ROCK2 (ROKa),Pan-specific,,,O75116,
100-401-149,,EGFR (ErbB1),Pan-specific,,,P00533,
100-401-151,,Cyclin A (CCNA; CLNA),Pan-specific,,,P78396,
110041,,NR5A2,Pan-specific,,,O00482,
11021,,Jun (c-Jun),T91,,,P05412,
11023,,Jun (c-Jun),Y170,,,P05412,
11034,,Myc (c-Myc),T58,,,P01106,
11036,,Myc (c-Myc),S373,,,P01106,
11037,,HDAC4,S389,,,P56524,
11041,,GATA1,S142,,,P15976,
11056,,PTEN,S380+T382+T383,,,P60484,
11057,,NBN (p95NBS1),S343,,,O60934,
11063,,EZR (Ezrin; VIL2),Y354,,,P15311,
11070,,ERa (ESR1; ER-alpha),S104,,,P03372,
11077,,MyoD,S200,,,P15172,
11088,,IGF1R,Y1165+Y1166,,,P08069,
11092,,TP53 (p53),S6,,Cellular tumor antigen p53,P04637,NP_000537.3
11097,,TP53 (p53),S33,,Cellular tumor antigen p53,P04637,NP_000537.3
11098,,TP53 (p53),S37,,Cellular tumor antigen p53,P04637,NP_000537.3
11115,,FOXO1A (FKHR; FKHRL1),S256,,,Q12778,
11134,,CDK1 (CDC2),T161,,,P06493,
11136,,FOXO1A (FKHR; FKHRL1),S319,,,Q12778,
11171,,SNCA (a-Synuclein),S129,,,P37840,
11173,,PKCd (PRKCD),S695,,,Q05655,
11188,,ENFB2,Y316,,,P52799,
11190,,APP (A4; ABPP; Amyloid beta),T743,,,P05067,
11196,,HSP90AB1 (HSP90; HSP84; HSP90B; HSPC2; HSPCB),S255,,,P07900,
11199,,Bcr,Y177,,,P11274,
11202,,EZR (Ezrin; VIL2),T567,,,P15311,
11213,,IkBe (IkBe),S161,,,O00221,
11217,,NFKB p65 (Rel A),S529,,,Q04206,
11218,,CTNNB1 (Catenin-b),S33,,,P35222,
11245,,ERK1 (MAPK3)/ERK2 (MAPK1),T202/T185,,,P27361,
11246,,ERK1 (MAPK3)/ERK2 (MAPK1),Y204/Y187,,,P27361,
11269,,p70S6K (S6Ka; RPS6KB1),S434,,,P23443,
11284,,p70S6K (S6Ka; RPS6KB1),S447,,,P23443,
11286,,SNCA (a-Synuclein),Y136,,,P37840,
11291,,Gab1,Y627,,,Q13480,
11296,,PKCd (PRKCD),S645,,,Q05655,
11297,,PKCt (PRKCQ; PKC-q; PKC-theta),S676,,,Q04759,
11302,,IGF1R,Y1280,,,P08069,
11316,,Shc1 (Shc),Y349,,,P29353,
11321,,Smad1,S465,,,Q15797,
11322,,Smad2,S467,,,Q15796,
11323,,Smad2,T220,,,Q15796,
11328,,TrkB (NTRK2),Y706,,,Q16620,
11330,,CTNNA1 (Catenin-a1 (a-E),S641,,,P35221,
11513,,eIF4B,S422,,,P23588,
11514,,eIF4G (eIF4G1),S1231,,,Q04637,
11517,,HDAC4/5/9,S246/259/220,,,P56524,
11523,,PLCG1,Y771,,,P19174,
11531,,VEGFR2 (KDR),Y1059,,,P35968,
11542,,CDK6,Y13,,,Q00534,
11545,,FAK (PTK2),Y576+Y577,,,Q05397,
11550,,MDM2,S166,,,Q00987,
11559,,MEK5 (MAP2K5; MKK5),S311+T315,,,Q13163,
11572,,CK2,T360+S362,,,P68400,
11574,,CTNNB1 (Catenin-b),Y333,,,P35222,
13-8700,,CDK7 (MO15),Pan-specific,,,P50613,
13-9800,,CAMK2b,Pan-specific,,,Q13554,
160745,,CASP3 (Caspase 3),Pan-specific,,,P42574,
18-0266,,ALK,Pan-specific,,,Q9UM73,
2051,,PKD1 (PRKCM; PKCm; PRKD1),S910,,,Q15139,
2111L,,Mnk1,T250+pT255,,,Q9BUB5,
2543,,CDK1,T14,,,P06493,
2611,,PRK1,T774+T818,,,Q16512,
2701,,ZAP70/Syk,Y319/Y352,,,P43403,
2731,,Lyn,Y507,,,P07948,
28017,,Tau (MAPT),S518,,,P10636,
2976,,mTOR (FRAP),S2448,,,P42345,
3041L,,MAPKAPK2 (RPS6KC1),T334,,,P49137,
3061L,,PDK1 (PDPK1),S241,,,O15530,
32-1800,,CASK (LIN2),Pan-specific,,,O14936,
3211L,,Bmx (Etk),,,,P51813,
33-1700,,Plk1 (PLK),Pan-specific,,,P53350,
33-3000,,KRS2,Pan-specific,,,Q13043,
