Kinase,Substrate,cdf_x,INVLog2FoldChange,Substrate_effect,Phosphosite,Log2FoldChange,TotalWalks_x,cdf_y,TotalWalks_y,Change (%)
LYN,PTK2,0.9999999999999951,-10981.166666666664,+,Y576,10981.166666666664,1269,0.9999999999999951,3479,174.15287628053585
LYN,PRKCD,0.9670710571923697,-7035.166666666667,+,Y313,7035.166666666667,1239,0.9670710571923697,2122,71.2671509281679
LYN,ABL1,0.9601386481802381,-6893.5,+,Y393,6893.5,1257,0.9601386481802381,2002,59.268098647573595
LYN,BTK,0.8630849220103949,-4427.0,+,Y223,4427.0,1226,0.8630849220103949,1357,10.685154975530182
PTK2,PTK2,0.9999999999999951,-10981.166666666664,+,Y576,10981.166666666664,24616,0.9999999999999951,131329,433.51072473188174
PTK2,PXN,0.277296360485269,-649.1666666666661,+,Y118,649.1666666666661,30747,0.277296360485269,77829,153.12713435457118
PTK2,RET,0.2616984402079728,-595.6666666666679,+,Y905,595.6666666666679,31493,0.2616984402079728,55571,76.45508525704125
BMX,PTK2,0.9999999999999951,-10981.166666666664,+,Y576,10981.166666666664,11673,0.9999999999999951,29616,153.71369827807763
INSR,PTK2,0.9999999999999951,-10981.166666666664,+,Y576,10981.166666666664,6263,0.9999999999999951,11453,82.86763531853745
EPHA3,PTK2,0.9999999999999951,-10981.166666666664,+,Y576,10981.166666666664,6220,0.9999999999999951,10993,76.7363344051447
MET,PTK2,0.9999999999999951,-10981.166666666664,+,Y576,10981.166666666664,9693,0.9999999999999951,23507,142.51521716702774
RET,PTK2,0.9999999999999951,-10981.166666666664,+,Y576,10981.166666666664,6195,0.9999999999999951,30127,386.3115415657789
RET,PLCG1,0.8076256499133416,-3768.166666666667,+,Y783,3768.166666666667,4528,0.8076256499133416,8657,91.18816254416961
RET,MAPK14,0.7902946273830125,-3503.875,+,Y182,3503.875,6320,0.7902946273830125,9807,55.17405063291139
RET,MAPK1,0.7642980935875188,-3209.1666666666665,+,Y187,3209.1666666666665,6411,0.7642980935875188,8992,40.25892996412418
SRC,PTK2,0.9999999999999951,-10981.166666666664,+,Y576,10981.166666666664,429,0.9999999999999951,2203,413.5198135198135
SRC,PRKCD,0.9670710571923697,-7035.166666666667,+,Y313,7035.166666666667,436,0.9670710571923697,1474,238.07339449541286
SRC,ABL1,0.9601386481802381,-6893.5,+,Y393,6893.5,456,0.9601386481802381,1316,188.59649122807014
SRC,EGFR,0.8492201039861316,-4242.166666666667,+,Y869,4242.166666666667,460,0.8492201039861316,806,75.21739130434784
SRC,RAF1,0.7677642980935846,-3226.666666666667,+,Y341,3226.666666666667,424,0.7677642980935846,593,39.858490566037744
FGR,PTK2,0.9999999999999951,-10981.166666666664,+,Y576,10981.166666666664,6164,0.9999999999999951,12138,96.91758598312782
CAMKK1,PRKAA1,0.9982668977469622,-10429.666666666666,+,T183,10429.666666666666,3175,0.9982668977469622,11021,247.11811023622045
PRKAA1,PRKAA1,0.9982668977469622,-10429.666666666666,+,T183,10429.666666666666,9366,0.9982668977469622,42866,357.6767029681828
PRKAA1,TP53,0.9705372616984356,-7041.5,+,S20,7041.5,8934,0.9705372616984356,45093,404.734721289456
PRKAA1,RAF1,0.7920277296360454,-3504.0,-,S259,3504.0,8812,0.7920277296360454,21725,146.53881071266457
PRKAA1,PIKFYVE,0.6152512998266881,-1894.1666666666665,+,S307,1894.1666666666665,8906,0.6152512998266881,11099,24.623849090500798
PRKAA1,HMGCR,0.5875216637781615,-1828.166666666666,,S872,1828.166666666666,8652,0.5875216637781615,10753,24.28340268146094
CAMKK2,PRKAA1,0.9982668977469622,-10429.666666666666,+,T183,10429.666666666666,4177,0.9982668977469622,11362,172.01340675125687
MAP3K11,PRKAA1,0.9982668977469622,-10429.666666666666,+,T183,10429.666666666666,8075,0.9982668977469622,17032,110.92260061919507
CAMK2B,PRKAA1,0.9982668977469622,-10429.666666666666,+,T183,10429.666666666666,6182,0.9982668977469622,11669,88.75768359754125
